Source Name,URL,Type,Active,Tags
Matt Wolfe,https://www.youtube.com/@mreflow,youtube,TRUE,"ai-tools,tutorials,reviews"
AI Explained,https://www.youtube.com/@aiexplained-official,youtube,TRUE,"ai-news,technical,deep-dives"
The AI Advantage,https://www.youtube.com/@aiadvantage,youtube,TRUE,"business,automation,practical"
Skill Leap AI,https://www.youtube.com/@skillleapai,youtube,TRUE,"tutorials,tools,beginner-friendly"
AI Andy,https://www.youtube.com/@aiandyai,youtube,TRUE,"ai-news,updates,tools"
WorldofAI,https://www.youtube.com/@intheworldofai,youtube,TRUE,"ai-news,weekly-updates,breaking"
All About AI,https://www.youtube.com/@AllAboutAI,youtube,TRUE,"tutorials,tools,business"
Prompt Engineering,https://www.youtube.com/@promptengineering,youtube,TRUE,"tutorials,prompts,chatgpt"
AI Foundations,https://www.youtube.com/@aifoundations,youtube,TRUE,"business,strategy,implementation"
The AI Grid,https://www.youtube.com/@theaigrid,youtube,TRUE,"ai-news,analysis,trends"
MattVidPro AI,https://www.youtube.com/@MattVidPro,youtube,TRUE,"ai-news,reviews,tutorials"
Two Minute Papers,https://www.youtube.com/@TwoMinutePapers,youtube,TRUE,"research,technical,innovation"
Wes Roth,https://www.youtube.com/@WesRoth,youtube,TRUE,"ai-news,deep-analysis,future"
AI Uncovered,https://www.youtube.com/@AIUncovered,youtube,TRUE,"ai-news,explained,accessible"
AI Revolution,https://www.youtube.com/@theairevolution,youtube,TRUE,"ai-news,industry,applications"
Linus Tech Tips,https://www.youtube.com/@LinusTechTips,youtube,TRUE,"tech,hardware,ai-tools"
Fireship,https://www.youtube.com/@Fireship,youtube,TRUE,"tech,coding,ai-dev"
Anthropic,https://www.youtube.com/@anthropic-ai,youtube,TRUE,"official,claude,releases"
OpenAI,https://www.youtube.com/@OpenAI,youtube,TRUE,"official,gpt,releases"
Google DeepMind,https://www.youtube.com/@Google_DeepMind,youtube,TRUE,"official,research,releases"
HubermanLab,https://www.youtube.com/@hubermanlab,youtube,TRUE,"productivity,science,optimization"
Ali Abdaal,https://www.youtube.com/@aliabdaal,youtube,TRUE,"productivity,business,ai-tools"
Thomas Frank,https://www.youtube.com/@Thomasfrank,youtube,TRUE,"productivity,automation,tools"
Nate Jones,https://www.youtube.com/@natebjonescontent,youtube,TRUE,"business,ai-strategy,industry"
Andrej Karpathy,https://www.youtube.com/@AndrejKarpathy,youtube,TRUE,"ai-education,technical,deep-learning"
Yannic Kilcher,https://www.youtube.com/@YannicKilcher,youtube,TRUE,"ai-research,papers,technical"
3Blue1Brown,https://www.youtube.com/@3blue1brown,youtube,TRUE,"math,ai-concepts,visualization"
Lex Fridman,https://www.youtube.com/@lexfridman,youtube,TRUE,"interviews,ai-leaders,philosophy"
AI Jason,https://www.youtube.com/@AIJasonZ,youtube,TRUE,"ai-business,tools,automation"
